id,firstname,lastname,title,party_slug,text,image_url,gender,birthday,website,slug,email,list,marital_status,children,education,profession,district_id,electoraldistrict_id,bt18_member,bt19_candidate,bt19_member,online_profiles,twitter_handle,MUST_CHECK
,Herlind,Gundelach,Dr.,cdu,,,f,1949-02-28,http://www.herlindgundelach.de/,herlind-gundelach-cdu,,5,,,,,2,23,1,1,NULL,,,
,Eckard,Graage,,cdu,,,m,,,eckard-graage-cdu,,6,,,,,2,22,NULL,1,NULL,,,
,Antonia,Niecke,,cdu,,,f,,,antonia-niecke-cdu,,7,,,,,2,NULL,NULL,1,NULL,,,
,Egbert,von Frankenberg,,cdu,,,m,,,egbert-von frankenberg-cdu,,8,,,,,2,NULL,NULL,1,NULL,,,
,Birgit,Stöver,,cdu,,,f,,,birgit-stoever-cdu,,9,,,,,2,NULL,NULL,1,NULL,,,
,Brit-Meike,Fischer-Pinz,,cdu,,,f,,,brit-meike-fischer-pinz-cdu,,10,,,,,2,NULL,NULL,1,NULL,,,
,Richard,Seelmaecker,,cdu,,,m,,,richard-seelmaecker-cdu,,11,,,,,2,NULL,NULL,1,NULL,,,
,Stefan,Körner,,piraten,,,m,,,stefan-koerner-piraten,,1,,,,,9,NULL,0,1,NULL,,,
,Olaf Konstantin,Krueger,Dr.,piraten,,,m,,,olaf-konstantin-krueger-piraten,,2,,,,,9,NULL,0,1,NULL,,,
,Katharina,Graßler,,piraten,,,f,,,katharina-grassler-piraten,,3,,,,,9,NULL,0,1,NULL,,,
,Benjamin,Wildenauer,,piraten,,,m,,,benjamin-wildenauer-piraten,,4,,,,,9,NULL,0,1,NULL,,,
,Holger,van Lengerich,,piraten,,,m,,,holger-van-lengerich-piraten,,5,,,,,9,NULL,0,1,NULL,,,
,Martina,Wenta,,piraten,,,f,,,martina-wenta-piraten,,6,,,,,9,NULL,0,1,NULL,,,
,Thomas,Mayer,,piraten,,,m,,,thomas-mayer-piraten,,7,,,,,9,NULL,0,1,NULL,,,
,Alex,Kohler,,piraten,,,m,,,alex-kohler-piraten,,8,,,,,9,NULL,0,1,NULL,,,
,Michael,Böhm,,piraten,,,m,,,michael-boehm-piraten,,9,,,,,9,NULL,0,1,NULL,,,
,Christian Andreas,Haas,,piraten,,,m,,,christian-andreas-haas-piraten,,10,,,,,9,NULL,0,1,NULL,,,
,Reinhold,Deuter,,piraten,,,m,,,reinhold-deuter-piraten,,11,,,,,9,NULL,0,1,NULL,,,
,Bernd,Wenzel,,piraten,,,m,,,bernd-wenzel-piraten,,12,,,,,9,NULL,0,1,NULL,,,
,Thomas,Wagner,,piraten,,,m,,,thomas-wagner-piraten,,13,,,,,9,NULL,0,1,NULL,,,
,Bettina,Hagedorn,,spd,,,f,1955-12-26,http://www.bettina-hagedorn.de,bettina-hagedorn-spd,,1,2,3,,,1,9,1,1,NULL,,,
,Sönke,Rix,,spd,,,m,,,soenke-rix-spd,,2,,,,,1,4,1,1,NULL,,SoenkeRix,
,Nina,Scheer,Dr.,spd,,,f,,,nina-scheer-spd,,3,,,,,1,10,1,1,NULL,,,
,Ernst Dieter,Rossmann,Dr.,spd,,,m,1951-02-04,http://www.ernst-dieter-rossmann.de,ernst-dieter-rossmann-spd,,4,1,1,,,1,7,1,1,NULL,,,
,Gabi,Hiller-Ohm,,spd,,,f,,,gabi-hiller-ohm-spd,,5,,,,,1,11,1,1,NULL,,gabihillerohm,
,Karin,Thissen,Dr.,spd,,,f,,,karin-thissen-spd,,6,,,,,1,3,1,1,NULL,,,
,Alexander,Wagner,,spd,,,m,,,alexander-wagner-spd,,7,,,,,1,8,0,1,NULL,,,
,Clemens,Teschendorf,,spd,,,m,,,clemens-teschendorf-spd,,8,,,,,1,1,0,1,NULL,,,
,Mathias,Stein,,spd,,,m,,,mathias-stein-spd,,9,,,,,1,5,0,1,NULL,,,
,Birgit,Malecha-Nissen,Dr.,spd,,,f,,,birgit-malecha-nissen-spd,,10,,,,,1,6,1,1,NULL,,,
,Elke Christina,Röder,,spd,,,f,,,elke-christina-roeder-spd,,11,,,,,1,NULL,0,1,NULL,,,
,Beate,Friedrichs-Heinemann,,spd,,,f,,,beate-friedrichs-heinemann-spd,,12,,,,,1,NULL,0,1,NULL,,,
,Martin,Ahrens,,spd,,,m,,,martin-ahrens-spd,,13,,,,,1,NULL,0,1,NULL,,,
,Katrin,Petersen,,spd,,,f,,,katrin-petersen-spd,,14,,,,,1,NULL,0,1,NULL,,,
,Mahmut,Cinar,,spd,,,m,,,mahmut-cinar-spd,,15,,,,,1,NULL,0,1,NULL,,,
,Antje,Möller-Neustock,,spd,,,f,,,antje-moeller-neustock-spd,,16,,,,,1,NULL,0,1,NULL,,,
,Jens,Meyer,,spd,,,m,,,jens-meyer-spd,,17,,,,,1,NULL,0,1,NULL,,,
,Yves-Christian,Stübe,,spd,,,m,1978-02-06,http://yveschristianstuebe.de/,yves-christian-stuebe-spd,,18,1,,,"Immobilienkaufmann, IHK",1,NULL,0,1,NULL,,stuebetour,
,Thies,Petersen,,spd,,,m,,,thies-petersen-spd,,19,,,,,1,NULL,0,1,NULL,,,
,Matthias,Ilgen,,spd,,,m,,,matthias-ilgen-spd,,0,,,,,1,2,1,1,NULL,,MatthiasIlgen,
